Logged,hostName,clientIp,clientPort,dhost,remarks,src,peerHost,ruleName,shost,dst,dOSName,clientFlag,act,app,serverMAC,deviceDirection
27/09/2023 13:14,vultrusercontent.com,,,152.114.57.124,"[""Domain: vultrusercontent.com""]","[""8.8.4.4""]",dns.google,DNS response resolves to dead IP address,dns.google,"[""152.114.57.124""]",,dst,"[""not blocked""]",DNS Response,,inbound
27/09/2023 13:14,95.179.138.110.vultrusercontent.com,,,152.114.57.124,"[""Domain: 95.179.138.110.vultrusercontent.com""]","[""8.8.4.4""]",dns.google,DNS response resolves to dead IP address,dns.google,"[""152.114.57.124""]",,dst,"[""not blocked""]",DNS Response,,inbound
27/09/2023 13:14,northgateps.com,,,95.179.138.110.vultrusercontent.com,"[""Domain: northgateps.com""]","[""152.114.57.24""]",152.114.57.24,Host DNS Mx record query of a non-trusted domain,152.114.57.24,"[""95.179.138.110""]",,dst,"[""not blocked""]",DNS Response,,inbound
27/09/2023 13:14,95.179.138.110.vultrusercontent.com,,,uk1-v-dc02.global.internal,"[""IP address: 10.102.82.213"", ""Domain: 95.179.138.110.vultrusercontent.com""]","[""10.102.123.24""]",uk1-v-dc02.global.internal,Host DNS query to a non-trusted DNS server,10.102.123.24,"[""10.102.82.213""]",,dst,"[""not blocked""]",DNS Response,,outbound
27/09/2023 13:14,northgateps.com,,,95.179.138.110.vultrusercontent.com,"[""Domain: northgateps.com""]","[""152.114.57.24""]",152.114.57.24,Host DNS Mx record query of a non-trusted domain,152.114.57.24,"[""95.179.138.110""]",,dst,"[""not blocked""]",DNS Response,,inbound
27/09/2023 13:14,vultrusercontent.com,,,152.114.57.124,"[""Domain: vultrusercontent.com""]","[""8.8.4.4""]",dns.google,DNS response resolves to dead IP address,dns.google,"[""152.114.57.124""]",,dst,"[""not blocked""]",DNS Response,,inbound
27/09/2023 13:14,95.179.138.110.vultrusercontent.com,,,uk1-v-dc02.global.internal,"[""Domain: 95.179.138.110.vultrusercontent.com""]","[""10.102.123.24""]",10.102.123.24,DNS response resolves to dead IP address,10.102.123.24,"[""10.102.82.213""]",,dst,"[""not blocked""]",DNS Response,,outbound
27/09/2023 13:14,95.179.138.110.vultrusercontent.com,,,uk1-v-dc02.global.internal,"[""Domain: 95.179.138.110.vultrusercontent.com""]","[""10.102.123.24""]",10.102.123.24,DNS response resolves to dead IP address,10.102.123.24,"[""10.102.82.213""]",,dst,"[""not blocked""]",DNS Response,,outbound
27/09/2023 13:14,95.179.138.110.vultrusercontent.com,,,152.114.57.124,"[""Domain: 95.179.138.110.vultrusercontent.com""]","[""8.8.4.4""]",dns.google,DNS response resolves to dead IP address,dns.google,"[""152.114.57.124""]",,dst,"[""not blocked""]",DNS Response,,inbound
27/09/2023 13:14,95.179.138.110.vultrusercontent.com,,,uk1-v-dc02.global.internal,"[""IP address: 10.102.82.213"", ""Domain: 95.179.138.110.vultrusercontent.com""]","[""10.102.123.24""]",uk1-v-dc02.global.internal,Host DNS query to a non-trusted DNS server,10.102.123.24,"[""10.102.82.213""]",,dst,"[""not blocked""]",DNS Response,,outbound
