Logged,dhost,remarks,src,peerHost,ruleName,dst,app,deviceDirection,hostName
12/09/2023 12:39,uk1-v-dc02.global.internal,"[""IP address: 10.102.82.213"", ""Domain: vultrusercontent.com""]","[""10.102.123.24""]",uk1-v-dc02.global.internal,Host DNS query to a non-trusted DNS server,"[""10.102.82.213""]",DNS Response,outbound,vultrusercontent.com
12/09/2023 12:39,152.114.57.124,"[""Domain: vultrusercontent.com""]","[""208.67.220.220""]",dns.umbrella.com,DNS response resolves to dead IP address,"[""152.114.57.124""]",DNS Response,inbound,vultrusercontent.com
12/09/2023 12:39,152.114.57.124,"[""Domain: vultrusercontent.com""]","[""208.67.220.220""]",dns.umbrella.com,DNS response resolves to dead IP address,"[""152.114.57.124""]",DNS Response,inbound,vultrusercontent.com
12/09/2023 12:39,uk1-v-dc02.global.internal,"[""IP address: 10.102.82.213"", ""Domain: vultrusercontent.com""]","[""10.102.123.24""]",uk1-v-dc02.global.internal,Host DNS query to a non-trusted DNS server,"[""10.102.82.213""]",DNS Response,outbound,vultrusercontent.com
12/09/2023 12:39,uk1-v-dc02.global.internal,"[""Domain: vultrusercontent.com""]","[""10.102.123.24""]",10.102.123.24,DNS response resolves to dead IP address,"[""10.102.82.213""]",DNS Response,outbound,vultrusercontent.com
12/09/2023 12:39,uk1-v-dc02.global.internal,"[""Domain: vultrusercontent.com""]","[""10.102.123.24""]",10.102.123.24,DNS response resolves to dead IP address,"[""10.102.82.213""]",DNS Response,outbound,vultrusercontent.com
12/09/2023 02:20,45.76.69.64.vultrusercontent.com,"[""IP address: 45.76.69.64""]","[""192.168.2.81""]",45.76.69.64.vultrusercontent.com,CVE-2014-0224 - Possible CCS Injection - TLS,"[""45.76.69.64""]",TCP,outbound,
12/09/2023 02:20,152.114.57.124,"[""Domain: 45.76.69.64.vultrusercontent.com""]","[""208.67.222.222""]",dns.opendns.com,DNS response resolves to dead IP address,"[""152.114.57.124""]",DNS Response,inbound,45.76.69.64.vultrusercontent.com
12/09/2023 02:20,152.114.57.124,"[""Domain: 45.76.69.64.vultrusercontent.com""]","[""208.67.222.222""]",dns.opendns.com,DNS response resolves to dead IP address,"[""152.114.57.124""]",DNS Response,inbound,45.76.69.64.vultrusercontent.com
12/09/2023 02:20,uk1-v-dc02.global.internal,"[""IP address: 10.102.82.213"", ""Domain: 45.76.69.64.vultrusercontent.com""]","[""10.102.123.24""]",uk1-v-dc02.global.internal,Host DNS query to a non-trusted DNS server,"[""10.102.82.213""]",DNS Response,outbound,45.76.69.64.vultrusercontent.com
12/09/2023 02:20,uk1-v-dc02.global.internal,"[""Domain: 45.76.69.64.vultrusercontent.com""]","[""10.102.123.24""]",10.102.123.24,DNS response resolves to dead IP address,"[""10.102.82.213""]",DNS Response,outbound,45.76.69.64.vultrusercontent.com
12/09/2023 02:20,152.114.57.124,"[""Domain: vultrusercontent.com""]","[""208.67.222.222""]",dns.opendns.com,DNS response resolves to dead IP address,"[""152.114.57.124""]",DNS Response,inbound,vultrusercontent.com
12/09/2023 02:20,uk1-v-dc02.global.internal,"[""IP address: 10.102.82.213"", ""Domain: 45.76.69.64.vultrusercontent.com""]","[""10.102.123.24""]",uk1-v-dc02.global.internal,Host DNS query to a non-trusted DNS server,"[""10.102.82.213""]",DNS Response,outbound,45.76.69.64.vultrusercontent.com
12/09/2023 02:20,152.114.57.124,"[""Domain: vultrusercontent.com""]","[""208.67.222.222""]",dns.opendns.com,DNS response resolves to dead IP address,"[""152.114.57.124""]",DNS Response,inbound,vultrusercontent.com
12/09/2023 02:20,uk1-v-dc02.global.internal,"[""Domain: 45.76.69.64.vultrusercontent.com""]","[""10.102.123.24""]",10.102.123.24,DNS response resolves to dead IP address,"[""10.102.82.213""]",DNS Response,outbound,45.76.69.64.vultrusercontent.com
11/09/2023 03:05,45.76.69.64.vultrusercontent.com,"[""IP address: 45.76.69.64""]","[""192.168.2.81""]",45.76.69.64.vultrusercontent.com,CVE-2014-0224 - Possible CCS Injection - TLS,"[""45.76.69.64""]",TCP,outbound,
10/09/2023 16:46,45.76.69.64.vultrusercontent.com,"[""IP address: 45.76.69.64""]","[""192.168.2.81""]",45.76.69.64.vultrusercontent.com,CVE-2014-0224 - Possible CCS Injection - TLS,"[""45.76.69.64""]",TCP,outbound,
09/09/2023 10:21,45.76.69.64.vultrusercontent.com,"[""IP address: 45.76.69.64""]","[""192.168.2.81""]",45.76.69.64.vultrusercontent.com,CVE-2014-0224 - Possible CCS Injection - TLS,"[""45.76.69.64""]",TCP,outbound,
06/09/2023 11:26,uk1-v-dc02.global.internal,"[""Domain: 45.76.69.64.vultrusercontent.com""]","[""10.102.123.25""]",10.102.123.25,DNS response resolves to dead IP address,"[""10.102.82.213""]",DNS Response,outbound,45.76.69.64.vultrusercontent.com
06/09/2023 11:26,uk1-v-dc02.global.internal,"[""Domain: 45.76.69.64.vultrusercontent.com""]","[""10.102.123.99""]",10.102.123.99,DNS response resolves to dead IP address,"[""10.102.82.213""]",DNS Response,outbound,45.76.69.64.vultrusercontent.com
06/09/2023 11:26,uk1-v-dc02.global.internal,"[""Domain: 45.76.69.64.vultrusercontent.com""]","[""10.102.123.25""]",10.102.123.25,DNS response resolves to dead IP address,"[""10.102.82.213""]",DNS Response,outbound,45.76.69.64.vultrusercontent.com
06/09/2023 11:26,45.76.69.64.vultrusercontent.com,"[""IP address: 45.76.69.64""]","[""192.168.2.81""]",45.76.69.64.vultrusercontent.com,CVE-2014-0224 - Possible CCS Injection - TLS,"[""45.76.69.64""]",TCP,outbound,
06/09/2023 11:26,uk1-v-dc02.global.internal,"[""Domain: 45.76.69.64.vultrusercontent.com""]","[""10.102.123.99""]",10.102.123.99,DNS response resolves to dead IP address,"[""10.102.82.213""]",DNS Response,outbound,45.76.69.64.vultrusercontent.com
05/09/2023 16:36,45.76.69.64.vultrusercontent.com,"[""IP address: 45.76.69.64""]","[""192.168.2.81""]",45.76.69.64.vultrusercontent.com,CVE-2014-0224 - Possible CCS Injection - TLS,"[""45.76.69.64""]",TCP,outbound,
05/09/2023 14:20,uk1-v-dc02.global.internal,"[""Domain: 207.246.98.187.vultrusercontent.com""]","[""10.102.123.24""]",10.102.123.24,DNS response resolves to dead IP address,"[""10.102.82.213""]",DNS Response,outbound,207.246.98.187.vultrusercontent.com
05/09/2023 14:20,152.114.57.124,"[""Domain: vultrusercontent.com""]","[""208.67.220.220""]",dns.umbrella.com,DNS response resolves to dead IP address,"[""152.114.57.124""]",DNS Response,inbound,vultrusercontent.com
05/09/2023 14:20,152.114.57.124,"[""Domain: 207.246.98.187.vultrusercontent.com""]","[""208.67.220.220""]",dns.umbrella.com,DNS response resolves to dead IP address,"[""152.114.57.124""]",DNS Response,inbound,207.246.98.187.vultrusercontent.com
05/09/2023 14:20,uk1-v-dc02.global.internal,"[""Domain: 207.246.98.187.vultrusercontent.com""]","[""10.102.123.99""]",10.102.123.99,DNS response resolves to dead IP address,"[""10.102.82.213""]",DNS Response,outbound,207.246.98.187.vultrusercontent.com
05/09/2023 14:20,152.114.57.124,"[""Domain: 207.246.98.187.vultrusercontent.com""]","[""208.67.220.220""]",dns.umbrella.com,DNS response resolves to dead IP address,"[""152.114.57.124""]",DNS Response,inbound,207.246.98.187.vultrusercontent.com
05/09/2023 14:20,uk1-v-dc02.global.internal,"[""Domain: 207.246.98.187.vultrusercontent.com""]","[""10.102.123.99""]",10.102.123.99,DNS response resolves to dead IP address,"[""10.102.82.213""]",DNS Response,outbound,207.246.98.187.vultrusercontent.com
05/09/2023 14:20,152.114.57.124,"[""Domain: vultrusercontent.com""]","[""208.67.220.220""]",dns.umbrella.com,DNS response resolves to dead IP address,"[""152.114.57.124""]",DNS Response,inbound,vultrusercontent.com
05/09/2023 14:20,uk1-v-dc02.global.internal,"[""Domain: 207.246.98.187.vultrusercontent.com""]","[""10.102.123.24""]",10.102.123.24,DNS response resolves to dead IP address,"[""10.102.82.213""]",DNS Response,outbound,207.246.98.187.vultrusercontent.com
05/09/2023 10:12,45.76.69.64.vultrusercontent.com,"[""IP address: 45.76.69.64""]","[""192.168.2.81""]",45.76.69.64.vultrusercontent.com,CVE-2014-0224 - Possible CCS Injection - TLS,"[""45.76.69.64""]",TCP,outbound,
