Logged,dhost,remarks,src,peerHost,ruleName,dst,app,deviceDirection,hostName
17/09/2023 11:00,uk1-v-dc02.global.internal,"[""IP address: 10.102.82.213"", ""Domain: 45.76.69.64.vultrusercontent.com""]","[""10.102.123.24""]",uk1-v-dc02.global.internal,Host DNS query to a non-trusted DNS server,"[""10.102.82.213""]",DNS Response,outbound,45.76.69.64.vultrusercontent.com
17/09/2023 11:00,uk1-v-dc02.global.internal,"[""Domain: 45.76.69.64.vultrusercontent.com""]","[""10.102.123.24""]",10.102.123.24,DNS response resolves to dead IP address,"[""10.102.82.213""]",DNS Response,outbound,45.76.69.64.vultrusercontent.com
17/09/2023 11:00,45.76.69.64.vultrusercontent.com,"[""IP address: 45.76.69.64""]","[""192.168.2.81""]",45.76.69.64.vultrusercontent.com,CVE-2014-0224 - Possible CCS Injection - TLS,"[""45.76.69.64""]",TCP,outbound,
17/09/2023 00:21,uk1-v-dc02.global.internal,"[""IP address: 10.102.82.213"", ""Domain: 149.248.51.128.vultrusercontent.com""]","[""10.102.123.24""]",uk1-v-dc02.global.internal,Host DNS query to a non-trusted DNS server,"[""10.102.82.213""]",DNS Response,outbound,149.248.51.128.vultrusercontent.com
17/09/2023 00:21,152.114.57.124,"[""Domain: 149.248.51.128.vultrusercontent.com""]","[""208.67.222.222""]",dns.umbrella.com,DNS response resolves to dead IP address,"[""152.114.57.124""]",DNS Response,inbound,149.248.51.128.vultrusercontent.com
17/09/2023 00:21,uk1-v-dc02.global.internal,"[""Domain: 149.248.51.128.vultrusercontent.com""]","[""10.102.123.24""]",10.102.123.24,DNS response resolves to dead IP address,"[""10.102.82.213""]",DNS Response,outbound,149.248.51.128.vultrusercontent.com
17/09/2023 00:21,152.114.57.124,"[""Domain: vultrusercontent.com""]","[""208.67.222.222""]",dns.umbrella.com,DNS response resolves to dead IP address,"[""152.114.57.124""]",DNS Response,inbound,vultrusercontent.com
17/09/2023 00:21,uk1-v-dc02.global.internal,"[""IP address: 10.102.82.213"", ""Domain: 149.248.51.128.vultrusercontent.com""]","[""10.102.123.24""]",uk1-v-dc02.global.internal,Host DNS query to a non-trusted DNS server,"[""10.102.82.213""]",DNS Response,outbound,149.248.51.128.vultrusercontent.com
17/09/2023 00:21,152.114.57.124,"[""Domain: 149.248.51.128.vultrusercontent.com""]","[""208.67.222.222""]",dns.umbrella.com,DNS response resolves to dead IP address,"[""152.114.57.124""]",DNS Response,inbound,149.248.51.128.vultrusercontent.com
17/09/2023 00:21,uk1-v-dc02.global.internal,"[""Domain: 149.248.51.128.vultrusercontent.com""]","[""10.102.123.24""]",10.102.123.24,DNS response resolves to dead IP address,"[""10.102.82.213""]",DNS Response,outbound,149.248.51.128.vultrusercontent.com
