"objectUser","parentFilePath","processFilePath","objectFilePath","processCmd","fill","stroke","shape","label","image","signed"
"C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe","","","C:\Windows\assembly\NativeImages_v4.0.30319_64\System.Manaa57fc8cc#\1abd8de7b1afcc673a7a8c3d15a86324\System.Management.Automation.ni.dll","""PowerShell.exe"" -ExecutionPolicy Bypass .\MMDActionEngine.ps1","#dae8fc","#6c8ebf","ellipse","%objectUser%<br>Signed:<i style=color:blue;>%signed%</i>","https://cdn-icons-png.flaticon.com/128/1949/1949225.png","[""Microsoft Windows""]"
"SPOXB","C:\Program Files (x86)\Microsoft Intune Management Extension\AgentExecutor.exe","","","""C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe"" -NoProfile -executionPolicy bypass -file  ""C:\Program Files (x86)\Microsoft Intune Management Extension\Content\DetectionScripts\83a36c32-398a-4819-ab7b-bc0cfa3f47c5_4.ps1"" ","#ccffe6","#009900","ellipse","%objectUser%","https://cdn4.iconfinder.com/data/icons/mexican-curious-1/400/emojiDF_angry_comp-512.png","[""Microsoft Windows""]"
"C:\Program Files (x86)\Microsoft Intune Management Extension\AgentExecutor.exe","","C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe","","","#ffe6ff","#d9d9d9","ellipse","%objectUser%","https://cdn2.iconfinder.com/data/icons/data-organization-and-management-7/64/vector_525_04-512.png","[""Microsoft Windows""]"
"C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe","","","C:\Windows\assembly\NativeImages_v4.0.30319_64\System.Manaa57fc8cc#\1abd8de7b1afcc673a7a8c3d15a86324\System.Management.Automation.ni.dll","""C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe"" -NoProfile -executionPolicy bypass -file  ""C:\Program Files (x86)\Microsoft Intune Management Extension\Content\DetectionScripts\83a36c32-398a-4819-ab7b-bc0cfa3f47c5_4.ps1"" ","#dae8fc","#6c8ebf","ellipse","%objectUser%<br>Signed:<i style=color:blue;>%signed%</i>","https://cdn-icons-png.flaticon.com/128/1949/1949225.png","[""Microsoft Windows""]"
"Jigar.Mehta1","C:\Program Files (x86)\Microsoft Intune Management Extension\AgentExecutor.exe","","","""C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe"" -NoProfile -executionPolicy bypass -file  ""C:\Windows\IMECache\HealthScripts\10c84872-05f7-43be-bbf0-f596ff32edbd_2\detect.ps1"" ","#ccffe6","#009900","ellipse","%objectUser%","https://cdn4.iconfinder.com/data/icons/mexican-curious-1/400/emojiDF_angry_comp-512.png","[""Microsoft Windows""]"
"C:\Program Files (x86)\Microsoft Intune Management Extension\AgentExecutor.exe","","C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe","","","#ffe6ff","#d9d9d9","ellipse","%objectUser%","https://cdn2.iconfinder.com/data/icons/data-organization-and-management-7/64/vector_525_04-512.png","[""Microsoft Windows""]"
"C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe","","","C:\Windows\assembly\NativeImages_v4.0.30319_64\System.Manaa57fc8cc#\1abd8de7b1afcc673a7a8c3d15a86324\System.Management.Automation.ni.dll","""C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe"" -NoProfile -executionPolicy bypass -file  ""C:\Windows\IMECache\HealthScripts\10c84872-05f7-43be-bbf0-f596ff32edbd_2\detect.ps1"" ","#dae8fc","#6c8ebf","ellipse","%objectUser%<br>Signed:<i style=color:blue;>%signed%</i>","https://cdn-icons-png.flaticon.com/128/1949/1949225.png","[""Microsoft Windows""]"
"SYSTEM","C:\Program Files (x86)\LANDesk\LDClient\vulscan.exe","","","powershell.exe -executionpolicy bypass C:\Windows\TEMP\ScanZoom.ps1","#ccffe6","#009900","ellipse","%objectUser%","https://cdn4.iconfinder.com/data/icons/mexican-curious-1/400/emojiDF_angry_comp-512.png","[""Microsoft Windows""]"
"C:\Program Files (x86)\LANDesk\LDClient\vulscan.exe","","C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe","","","#ffe6ff","#d9d9d9","ellipse","%objectUser%","https://cdn2.iconfinder.com/data/icons/data-organization-and-management-7/64/vector_525_04-512.png","[""Microsoft Windows""]"
"C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe","","","C:\Windows\System32\conhost.exe","powershell.exe -executionpolicy bypass C:\Windows\TEMP\ScanZoom.ps1","#dae8fc","#6c8ebf","ellipse","%objectUser%<br>Signed:<i style=color:blue;>%signed%</i>","https://cdn-icons-png.flaticon.com/128/1949/1949225.png","[""Microsoft Windows""]"
"anil.reddy","C:\Program Files (x86)\LANDesk\LDClient\vulscan.exe","","","powershell.exe -executionpolicy bypass C:\WINDOWS\TEMP\ScanZoom.ps1","#ccffe6","#009900","ellipse","%objectUser%","https://cdn4.iconfinder.com/data/icons/mexican-curious-1/400/emojiDF_angry_comp-512.png","[""Microsoft Windows""]"
"C:\Program Files (x86)\LANDesk\LDClient\vulscan.exe","","C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe","","","#ffe6ff","#d9d9d9","ellipse","%objectUser%","https://cdn2.iconfinder.com/data/icons/data-organization-and-management-7/64/vector_525_04-512.png","[""Microsoft Windows""]"
"C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe","","","C:\Windows\assembly\NativeImages_v4.0.30319_64\System.Manaa57fc8cc#\1abd8de7b1afcc673a7a8c3d15a86324\System.Management.Automation.ni.dll","powershell.exe -executionpolicy bypass C:\WINDOWS\TEMP\ScanZoom.ps1","#dae8fc","#6c8ebf","ellipse","%objectUser%<br>Signed:<i style=color:blue;>%signed%</i>","https://cdn-icons-png.flaticon.com/128/1949/1949225.png","[""Microsoft Windows""]"
"Mitalee.Vadhavekar","C:\Program Files (x86)\Microsoft Intune Management Extension\AgentExecutor.exe","","","""C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe"" -NoProfile -executionPolicy bypass -file  ""C:\WINDOWS\IMECache\HealthScripts\10c84872-05f7-43be-bbf0-f596ff32edbd_2\detect.ps1"" ","#ccffe6","#009900","ellipse","%objectUser%","https://cdn4.iconfinder.com/data/icons/mexican-curious-1/400/emojiDF_angry_comp-512.png","[""Microsoft Windows""]"
"C:\Program Files (x86)\Microsoft Intune Management Extension\AgentExecutor.exe","","C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe","","","#ffe6ff","#d9d9d9","ellipse","%objectUser%","https://cdn2.iconfinder.com/data/icons/data-organization-and-management-7/64/vector_525_04-512.png","[""Microsoft Windows""]"
"C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe","","","C:\Windows\assembly\NativeImages_v4.0.30319_64\System.Manaa57fc8cc#\1abd8de7b1afcc673a7a8c3d15a86324\System.Management.Automation.ni.dll","""C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe"" -NoProfile -executionPolicy bypass -file  ""C:\WINDOWS\IMECache\HealthScripts\10c84872-05f7-43be-bbf0-f596ff32edbd_2\detect.ps1"" ","#dae8fc","#6c8ebf","ellipse","%objectUser%<br>Signed:<i style=color:blue;>%signed%</i>","https://cdn-icons-png.flaticon.com/128/1949/1949225.png","[""Microsoft Windows""]"
"GLOBAL\Mitalee.Vadhavekar","","","","""C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe"" -NoProfile -executionPolicy bypass -file  ""C:\WINDOWS\IMECache\HealthScripts\10c84872-05f7-43be-bbf0-f596ff32edbd_2\detect.ps1"" ","#ccffe6","#009900","ellipse","%objectUser%","https://cdn4.iconfinder.com/data/icons/mexican-curious-1/400/emojiDF_angry_comp-512.png",""
"","","","","","#ffe6ff","#d9d9d9","ellipse","%objectUser%","https://cdn2.iconfinder.com/data/icons/data-organization-and-management-7/64/vector_525_04-512.png",""
"","","","","""C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe"" -NoProfile -executionPolicy bypass -file  ""C:\WINDOWS\IMECache\HealthScripts\10c84872-05f7-43be-bbf0-f596ff32edbd_2\detect.ps1"" ","#dae8fc","#6c8ebf","ellipse","%objectUser%","https://cdn2.iconfinder.com/data/icons/module/512/nfc-chip-chipset-pay-service-mobile-512.png",""
"lauren.elstob","C:\Program Files (x86)\Microsoft Intune Management Extension\AgentExecutor.exe","","","""C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe"" -NoProfile -executionPolicy bypass -file  ""C:\Windows\IMECache\HealthScripts\10c84872-05f7-43be-bbf0-f596ff32edbd_2\detect.ps1"" ","#ccffe6","#009900","ellipse","%objectUser%","https://cdn4.iconfinder.com/data/icons/mexican-curious-1/400/emojiDF_angry_comp-512.png","[""Microsoft Windows""]"
"C:\Program Files (x86)\Microsoft Intune Management Extension\AgentExecutor.exe","","C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe","","","#ffe6ff","#d9d9d9","ellipse","%objectUser%","https://cdn2.iconfinder.com/data/icons/data-organization-and-management-7/64/vector_525_04-512.png","[""Microsoft Windows""]"
"C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe","","","C:\Windows\assembly\NativeImages_v4.0.30319_64\System.Manaa57fc8cc#\1abd8de7b1afcc673a7a8c3d15a86324\System.Management.Automation.ni.dll","""C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe"" -NoProfile -executionPolicy bypass -file  ""C:\Windows\IMECache\HealthScripts\10c84872-05f7-43be-bbf0-f596ff32edbd_2\detect.ps1"" ","#dae8fc","#6c8ebf","ellipse","%objectUser%<br>Signed:<i style=color:blue;>%signed%</i>","https://cdn-icons-png.flaticon.com/128/1949/1949225.png","[""Microsoft Windows""]"
"kedar.barve","C:\Program Files (x86)\Microsoft Intune Management Extension\AgentExecutor.exe","","","""C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe"" -NoProfile -executionPolicy bypass -file  ""C:\WINDOWS\IMECache\HealthScripts\10c84872-05f7-43be-bbf0-f596ff32edbd_2\detect.ps1"" ","#ccffe6","#009900","ellipse","%objectUser%","https://cdn4.iconfinder.com/data/icons/mexican-curious-1/400/emojiDF_angry_comp-512.png","[""Microsoft Windows""]"
"C:\Program Files (x86)\Microsoft Intune Management Extension\AgentExecutor.exe","","C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe","","","#ffe6ff","#d9d9d9","ellipse","%objectUser%","https://cdn2.iconfinder.com/data/icons/data-organization-and-management-7/64/vector_525_04-512.png","[""Microsoft Windows""]"
"C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe","","","C:\Windows\assembly\NativeImages_v4.0.30319_64\System.Manaa57fc8cc#\1abd8de7b1afcc673a7a8c3d15a86324\System.Management.Automation.ni.dll","""C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe"" -NoProfile -executionPolicy bypass -file  ""C:\WINDOWS\IMECache\HealthScripts\10c84872-05f7-43be-bbf0-f596ff32edbd_2\detect.ps1"" ","#dae8fc","#6c8ebf","ellipse","%objectUser%<br>Signed:<i style=color:blue;>%signed%</i>","https://cdn-icons-png.flaticon.com/128/1949/1949225.png","[""Microsoft Windows""]"
"andrew.graham-smith","C:\Program Files (x86)\Microsoft Intune Management Extension\AgentExecutor.exe","","","""C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe"" -NoProfile -executionPolicy bypass -file  ""C:\WINDOWS\IMECache\HealthScripts\10c84872-05f7-43be-bbf0-f596ff32edbd_2\detect.ps1"" ","#ccffe6","#009900","ellipse","%objectUser%","https://cdn4.iconfinder.com/data/icons/mexican-curious-1/400/emojiDF_angry_comp-512.png","[""Microsoft Windows""]"
"C:\Program Files (x86)\Microsoft Intune Management Extension\AgentExecutor.exe","","C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe","","","#ffe6ff","#d9d9d9","ellipse","%objectUser%","https://cdn2.iconfinder.com/data/icons/data-organization-and-management-7/64/vector_525_04-512.png","[""Microsoft Windows""]"
"C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe","","","C:\Windows\assembly\NativeImages_v4.0.30319_64\System.Manaa57fc8cc#\1abd8de7b1afcc673a7a8c3d15a86324\System.Management.Automation.ni.dll","""C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe"" -NoProfile -executionPolicy bypass -file  ""C:\WINDOWS\IMECache\HealthScripts\10c84872-05f7-43be-bbf0-f596ff32edbd_2\detect.ps1"" ","#dae8fc","#6c8ebf","ellipse","%objectUser%<br>Signed:<i style=color:blue;>%signed%</i>","https://cdn-icons-png.flaticon.com/128/1949/1949225.png","[""Microsoft Windows""]"
"phil.webb","C:\Windows\System32\svchost.exe","","","""PowerShell.exe"" -ExecutionPolicy Bypass .\MMDActionEngine.ps1","#ccffe6","#009900","ellipse","%objectUser%","https://cdn4.iconfinder.com/data/icons/mexican-curious-1/400/emojiDF_angry_comp-512.png","[""Microsoft Windows""]"
"C:\Windows\System32\svchost.exe","","C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe","","","#ffe6ff","#d9d9d9","ellipse","%objectUser%","https://cdn2.iconfinder.com/data/icons/data-organization-and-management-7/64/vector_525_04-512.png","[""Microsoft Windows""]"
"C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe","","","C:\ProgramData\Microsoft\Windows Defender\Platform\4.18.1911.3-0\MpClient.dll","""PowerShell.exe"" -ExecutionPolicy Bypass .\MMDActionEngine.ps1","#dae8fc","#6c8ebf","ellipse","%objectUser%<br>Signed:<i style=color:blue;>%signed%</i>","https://cdn-icons-png.flaticon.com/128/1949/1949225.png","[""Microsoft Windows""]"
"phil.webb","C:\Windows\System32\svchost.exe","","","""PowerShell.exe"" -ExecutionPolicy Bypass .\MMDActionEngine.ps1","#ccffe6","#009900","ellipse","%objectUser%","https://cdn4.iconfinder.com/data/icons/mexican-curious-1/400/emojiDF_angry_comp-512.png","[""Microsoft Windows""]"
