Logged,parentName,parentFilePath,parentCmd,objectUser,osDescription,processName,processFilePath,processCmd,objectFilePath,processSigner
01/10/2023 00:37,,,,NT AUTHORITY\SYSTEM,,,,"""C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe"" -NoProfile -executionPolicy bypass -file  ""C:\Program Files (x86)\Microsoft Intune Management Extension\Content\DetectionScripts\64a3d91c-090c-4cf1-be71-5fe6a0488012_3.ps1"" ",,
01/10/2023 00:37,,,,NT AUTHORITY\SYSTEM,,,,"""C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe"" -NoProfile -executionPolicy bypass -file  ""C:\Program Files (x86)\Microsoft Intune Management Extension\Content\DetectionScripts\64a3d91c-090c-4cf1-be71-5fe6a0488012_3.ps1"" ",,
01/10/2023 00:37,,,,NT AUTHORITY\SYSTEM,,,,"""C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe"" -NoProfile -executionPolicy bypass -file  ""C:\Program Files (x86)\Microsoft Intune Management Extension\Content\DetectionScripts\64a3d91c-090c-4cf1-be71-5fe6a0488012_3.ps1"" ",,
01/10/2023 00:37,C:\Windows\System32\cmd.exe,C:\Windows\System32\cmd.exe,"C:\WINDOWS\SYSTEM32\cmd.exe /c """"C:\Scripts\Python\CaaS\CSVDownloads.bat""""",,Windows Server 2019 Standard (64 bit) build 17763,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,"powershell.exe  -ExecutionPolicy Bypass -File ""C:\Scripts\Python\CaaS\SnapshotCreationTracker.ps1""",,"[""Microsoft Windows""]"
01/10/2023 00:37,C:\Windows\System32\cmd.exe,C:\Windows\System32\cmd.exe,"C:\WINDOWS\SYSTEM32\cmd.exe /c """"C:\Scripts\Python\CaaS\CSVDownloads.bat""""",,Windows Server 2019 Standard (64 bit) build 17763,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,"powershell.exe  -ExecutionPolicy Bypass -File ""C:\Scripts\Python\CaaS\SnapshotCreationTracker.ps1""",C:\Scripts\Python\CaaS\SnapshotTracker.csv,"[""Microsoft Windows""]"
01/10/2023 00:37,C:\Windows\System32\cmd.exe,C:\Windows\System32\cmd.exe,"C:\WINDOWS\SYSTEM32\cmd.exe /c """"C:\Scripts\Python\CaaS\CSVDownloads.bat""""",,Windows Server 2019 Standard (64 bit) build 17763,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,"powershell.exe  -ExecutionPolicy Bypass -File ""C:\Scripts\Python\CaaS\SnapshotCreationTracker.ps1""",,"[""Microsoft Windows""]"
01/10/2023 00:37,C:\Windows\System32\cmd.exe,C:\Windows\System32\cmd.exe,"C:\WINDOWS\SYSTEM32\cmd.exe /c """"C:\Scripts\Python\CaaS\CSVDownloads.bat""""",,Windows Server 2019 Standard (64 bit) build 17763,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,"powershell.exe  -ExecutionPolicy Bypass -File ""C:\Scripts\Python\CaaS\SnapshotCreationTracker.ps1""",,"[""Microsoft Windows""]"
01/10/2023 00:37,C:\Windows\System32\cmd.exe,C:\Windows\System32\cmd.exe,"C:\WINDOWS\SYSTEM32\cmd.exe /c """"C:\Scripts\Python\CaaS\CSVDownloads.bat""""",,Windows Server 2019 Standard (64 bit) build 17763,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,"powershell.exe  -ExecutionPolicy Bypass -File ""C:\Scripts\Python\CaaS\SnapshotCreationTracker.ps1""",C:\Users\SDAutomation\.Azure\AzureRmContext.json,"[""Microsoft Windows""]"
01/10/2023 00:37,,,,NT AUTHORITY\SYSTEM,,,,"""PowerShell.exe"" -ExecutionPolicy Bypass .\MMDActionEngine.ps1",,
01/10/2023 00:37,,,,NT AUTHORITY\SYSTEM,,,,"""PowerShell.exe"" -ExecutionPolicy Bypass .\MMDActionEngine.ps1",,
01/10/2023 00:37,,,,NT AUTHORITY\SYSTEM,,,,"""PowerShell.exe"" -ExecutionPolicy Bypass .\MMDActionEngine.ps1",,
01/10/2023 00:37,,,,NT AUTHORITY\SYSTEM,,,,"""PowerShell.exe"" -ExecutionPolicy Bypass .\MMDActionEngine.ps1",,
01/10/2023 00:37,,,,NT AUTHORITY\SYSTEM,,,,"""PowerShell.exe"" -ExecutionPolicy Bypass .\MMDActionEngine.ps1",,
01/10/2023 00:37,,,,NT AUTHORITY\SYSTEM,,,,"""PowerShell.exe"" -ExecutionPolicy Bypass .\MMDActionEngine.ps1",,
01/10/2023 00:37,,,,NT AUTHORITY\SYSTEM,,,,"""PowerShell.exe"" -ExecutionPolicy Bypass .\MMDActionEngine.ps1",,
01/10/2023 00:37,,,,NT AUTHORITY\SYSTEM,,,,"""PowerShell.exe"" -ExecutionPolicy Bypass .\MMDActionEngine.ps1",,
01/10/2023 00:37,,,,NT AUTHORITY\SYSTEM,,,,"""PowerShell.exe"" -ExecutionPolicy Bypass .\MMDActionEngine.ps1",,
01/10/2023 00:37,,,,NT AUTHORITY\SYSTEM,,,,"""PowerShell.exe"" -ExecutionPolicy Bypass .\MMDActionEngine.ps1",,
01/10/2023 00:37,C:\Windows\System32\cmd.exe,C:\Windows\System32\cmd.exe,"C:\WINDOWS\SYSTEM32\cmd.exe /c """"C:\Scripts\Python\CaaS\CSVDownloads.bat""""",,Windows Server 2019 Standard (64 bit) build 17763,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,"powershell.exe  -ExecutionPolicy Bypass -File ""C:\Scripts\Python\CaaS\SnapshotCreationTracker.ps1""",C:\Users\SDAutomation\.Azure\keystore.cache,"[""Microsoft Windows""]"
01/10/2023 00:37,C:\Windows\System32\cmd.exe,C:\Windows\System32\cmd.exe,"C:\WINDOWS\SYSTEM32\cmd.exe /c """"C:\Scripts\Python\CaaS\CSVDownloads.bat""""",,Windows Server 2019 Standard (64 bit) build 17763,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,"powershell.exe  -ExecutionPolicy Bypass -File ""C:\Scripts\Python\CaaS\SnapshotCreationTracker.ps1""",C:\Users\SDAutomation\.Azure\keystore.cache.test,"[""Microsoft Windows""]"
01/10/2023 00:37,C:\Windows\System32\cmd.exe,C:\Windows\System32\cmd.exe,"C:\WINDOWS\SYSTEM32\cmd.exe /c """"C:\Scripts\Python\CaaS\CSVDownloads.bat""""",,Windows Server 2019 Standard (64 bit) build 17763,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,"powershell.exe  -ExecutionPolicy Bypass -File ""C:\Scripts\Python\CaaS\SnapshotCreationTracker.ps1""",C:\Users\SDAutomation\.Azure\keystore.cache.lockfile,"[""Microsoft Windows""]"
01/10/2023 00:37,C:\Windows\System32\cmd.exe,C:\Windows\System32\cmd.exe,"C:\WINDOWS\SYSTEM32\cmd.exe /c """"C:\Scripts\Python\CaaS\CSVDownloads.bat""""",,Windows Server 2019 Standard (64 bit) build 17763,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,"powershell.exe  -ExecutionPolicy Bypass -File ""C:\Scripts\Python\CaaS\SnapshotCreationTracker.ps1""",,"[""Microsoft Windows""]"
01/10/2023 00:37,C:\Windows\System32\cmd.exe,C:\Windows\System32\cmd.exe,"C:\WINDOWS\SYSTEM32\cmd.exe /c """"C:\Scripts\Python\CaaS\CSVDownloads.bat""""",,Windows Server 2019 Standard (64 bit) build 17763,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,"powershell.exe  -ExecutionPolicy Bypass -File ""C:\Scripts\Python\CaaS\SnapshotCreationTracker.ps1""",,"[""Microsoft Windows""]"
01/10/2023 00:37,C:\Windows\System32\cmd.exe,C:\Windows\System32\cmd.exe,"C:\WINDOWS\SYSTEM32\cmd.exe /c """"C:\Scripts\Python\CaaS\CSVDownloads.bat""""",,Windows Server 2019 Standard (64 bit) build 17763,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,"powershell.exe  -ExecutionPolicy Bypass -File ""C:\Scripts\Python\CaaS\SnapshotCreationTracker.ps1""",,"[""Microsoft Windows""]"
01/10/2023 00:37,C:\Windows\System32\cmd.exe,C:\Windows\System32\cmd.exe,"C:\WINDOWS\SYSTEM32\cmd.exe /c """"C:\Scripts\Python\CaaS\CSVDownloads.bat""""",,Windows Server 2019 Standard (64 bit) build 17763,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,"powershell.exe  -ExecutionPolicy Bypass -File ""C:\Scripts\Python\CaaS\SnapshotCreationTracker.ps1""",,"[""Microsoft Windows""]"
01/10/2023 00:37,C:\Windows\System32\cmd.exe,C:\Windows\System32\cmd.exe,"C:\WINDOWS\SYSTEM32\cmd.exe /c """"C:\Scripts\Python\CaaS\CSVDownloads.bat""""",,Windows Server 2019 Standard (64 bit) build 17763,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,"powershell.exe  -ExecutionPolicy Bypass -File ""C:\Scripts\Python\CaaS\SnapshotCreationTracker.ps1""",,"[""Microsoft Windows""]"
