Logged,dhost,src,peerHost,ruleName,act,app,deviceDirection,deviceMacAddress,hostName,potentialRisk,dst,remarks
2023-09-21 16:17:00,,,,,"[""Block""]",,,,,,,
2023-09-21 16:17:00,,,,,"[""Block""]",,,,,,,
2023-09-21 16:17:00,,,,,"[""Block""]",,,,,,,
2023-09-21 16:16:42,uk1-v-dc02.global.internal,"[""10.102.123.24""]",uk1-v-dc02.global.internal,Host DNS query to a non-trusted DNS server,"[""not blocked""]",DNS Response,outbound,00:50:56:87:ae:f7,kidsmanagement-pa.clients6.google.com,1,"[""10.102.82.213""]","[""IP address: 10.102.82.213"", ""Domain: kidsmanagement-pa.clients6.google.com""]"
2023-09-21 16:16:42,uk1-v-dc02.global.internal,"[""10.102.123.24""]",uk1-v-dc02.global.internal,Host DNS query to a non-trusted DNS server,"[""not blocked""]",DNS Response,outbound,00:50:56:87:ae:f7,kidsmanagement-pa.clients6.google.com,1,"[""10.102.82.213""]","[""IP address: 10.102.82.213"", ""Domain: kidsmanagement-pa.clients6.google.com""]"
2023-09-21 16:18:37,,,,MA-01-030,,,,,,,,
2023-09-21 16:16:02,,,,Google Drive v2,"[""Allowed""]",,,,,,,
2023-09-21 16:16:00,,,,,"[""Block""]",,,,,,,
2023-09-21 16:16:00,,,,,"[""Block""]",,,,,,,
2023-09-21 16:16:00,,,,,"[""Block""]",,,,,,,
2023-09-21 16:16:00,,,,,"[""Block""]",,,,,,,
2023-09-21 16:15:06,,,,Google Drive v2,"[""Allowed""]",,,,,,,
2023-09-21 16:15:00,,,,,"[""Block""]",,,,,,,
2023-09-21 16:15:00,,,,,"[""Block""]",,,,,,,
2023-09-21 16:18:20,,,,MA-01-002,,,,,,,,
2023-09-21 16:19:05,,,,MA-01-002,,,,,,,,
2023-09-21 16:14:02,,,,Google Drive v2,"[""Allowed""]",,,,,,,
2023-09-21 16:14:00,,,,,"[""Block""]",,,,,,,
2023-09-21 16:14:00,,,,,"[""Block""]",,,,,,,
2023-09-21 16:14:00,,,,,"[""Block""]",,,,,,,
2023-09-21 16:14:00,,,,,"[""Block""]",,,,,,,
2023-09-21 16:14:00,,,,,"[""Block""]",,,,,,,
2023-09-21 16:14:00,,,,,"[""Block""]",,,,,,,
2023-09-21 16:14:00,,,,,"[""Block""]",,,,,,,
2023-09-21 16:14:00,,,,,"[""Block""]",,,,,,,
2023-09-21 16:13:24,,,,Google Drive v2,"[""Allowed""]",,,,,,,
2023-09-21 16:13:00,,,,,"[""Block""]",,,,,,,
2023-09-21 16:13:00,,,,,"[""Block""]",,,,,,,
2023-09-21 16:13:00,,,,,"[""Block""]",,,,,,,
2023-09-21 16:13:00,,,,,"[""Block""]",,,,,,,
2023-09-21 16:13:00,,,,,"[""Block""]",,,,,,,
2023-09-21 16:13:00,,,,,"[""Block""]",,,,,,,
2023-09-21 16:13:00,,,,,"[""Block""]",,,,,,,
2023-09-21 16:13:00,,,,,"[""Block""]",,,,,,,
2023-09-21 16:12:28,,,,Google Drive v2,"[""Allowed""]",,,,,,,
2023-09-21 16:12:00,,,,,"[""Block""]",,,,,,,
2023-09-21 16:12:00,,,,,"[""Block""]",,,,,,,
2023-09-21 16:12:00,,,,,"[""Block""]",,,,,,,
2023-09-21 16:12:00,,,,,"[""Block""]",,,,,,,
2023-09-21 16:12:00,,,,,"[""Block""]",,,,,,,
2023-09-21 16:12:00,,,,,"[""Block""]",,,,,,,
2023-09-21 16:12:00,,,,,"[""Block""]",,,,,,,
2023-09-21 16:12:00,,,,,"[""Block""]",,,,,,,
2023-09-21 16:11:44,,,,Google Drive v2,"[""Allowed""]",,,,,,,
2023-09-21 16:11:24,,,,Google Drive v2,"[""Allowed""]",,,,,,,
2023-09-21 16:10:43,,,,Google Drive v2,"[""Allowed""]",,,,,,,
2023-09-21 16:10:35,,,,Google Drive v2,"[""Allowed""]",,,,,,,
2023-09-21 16:10:22,,,,Google Drive v2,"[""Allowed""]",,,,,,,
2023-09-21 16:15:48,,,,MA-01-030,,,,,,,,
2023-09-21 16:10:00,,,,,"[""Block""]",,,,,,,
2023-09-21 16:10:00,,,,,"[""Block""]",,,,,,,
2023-09-21 16:10:00,uk1-v-dc02.global.internal,"[""10.102.123.24""]",uk1-v-dc02.global.internal,Host DNS query to a non-trusted DNS server,"[""not blocked""]",DNS Response,outbound,00:50:56:87:ae:f7,googlemail.l.google.com,1,"[""10.102.82.213""]","[""IP address: 10.102.82.213"", ""Domain: googlemail.l.google.com""]"
2023-09-21 16:10:00,,,,,"[""Block""]",,,,,,,
2023-09-21 16:10:00,uk1-v-dc02.global.internal,"[""10.102.123.24""]",uk1-v-dc02.global.internal,Host DNS query to a non-trusted DNS server,"[""not blocked""]",DNS Response,outbound,00:50:56:87:ae:f7,googlemail.l.google.com,1,"[""10.102.82.213""]","[""IP address: 10.102.82.213"", ""Domain: googlemail.l.google.com""]"
2023-09-21 16:12:39,,,,MA-01-030,,,,,,,,
2023-09-21 16:09:38,,,,Google Drive v2,"[""Allowed""]",,,,,,,
2023-09-21 16:09:35,,,,Google Drive v2,"[""Allowed""]",,,,,,,
2023-09-21 16:09:26,,,,Google Drive v2,"[""Allowed""]",,,,,,,
2023-09-21 16:09:00,,,,,"[""Block""]",,,,,,,
2023-09-21 16:09:00,,,,,"[""Block""]",,,,,,,
2023-09-21 16:09:00,,,,,"[""Block""]",,,,,,,
2023-09-21 16:09:00,,,,,"[""Block""]",,,,,,,
2023-09-21 16:09:00,,,,,"[""Block""]",,,,,,,
2023-09-21 16:09:00,,,,,"[""Block""]",,,,,,,
2023-09-21 16:09:00,,,,,"[""Block""]",,,,,,,
2023-09-21 16:09:00,,,,,"[""Block""]",,,,,,,
2023-09-21 16:08:42,,,,Google Drive v2,"[""Allowed""]",,,,,,,
2023-09-21 16:08:31,,,,Google Drive v2,"[""Allowed""]",,,,,,,
2023-09-21 16:08:22,,,,Google Drive v2,"[""Allowed""]",,,,,,,
2023-09-21 16:08:00,,,,,"[""Block""]",,,,,,,
2023-09-21 16:08:00,,,,,"[""Block""]",,,,,,,
2023-09-21 16:08:00,,,,,"[""Block""]",,,,,,,
2023-09-21 16:08:00,,,,,"[""Block""]",,,,,,,
2023-09-21 16:08:00,,,,,"[""Block""]",,,,,,,
2023-09-21 16:08:00,,,,,"[""Block""]",,,,,,,
2023-09-21 16:07:56,,,,Google Drive v2,"[""Allowed""]",,,,,,,
2023-09-21 16:07:43,,,,Lockdown,"[""Assessment (Allow)""]",,,,,,,
2023-09-21 16:07:38,,,,Google Drive v2,"[""Allowed""]",,,,,,,
2023-09-21 16:07:35,,,,Google Drive v2,"[""Allowed""]",,,,,,,
2023-09-21 16:10:21,,,,MA-01-002,,,,,,,,
2023-09-21 16:07:26,,,,Google Drive v2,"[""Allowed""]",,,,,,,
2023-09-21 16:07:00,,,,,"[""Block""]",,,,,,,
2023-09-21 16:07:00,,,,,"[""Block""]",,,,,,,
2023-09-21 16:07:00,,,,,"[""Block""]",,,,,,,
2023-09-21 16:07:00,,,,,"[""Block""]",,,,,,,
2023-09-21 16:07:00,,,,,"[""Block""]",,,,,,,
2023-09-21 16:06:42,uk1-v-dc02.global.internal,"[""10.102.123.24""]",uk1-v-dc02.global.internal,Host DNS query to a non-trusted DNS server,"[""not blocked""]",DNS Response,outbound,00:50:56:87:ae:f7,google.co.uk,1,"[""10.102.82.213""]","[""IP address: 10.102.82.213"", ""Domain: google.co.uk""]"
2023-09-21 16:06:42,uk1-v-dc02.global.internal,"[""10.102.123.24""]",uk1-v-dc02.global.internal,Host DNS query to a non-trusted DNS server,"[""not blocked""]",DNS Response,outbound,00:50:56:87:ae:f7,google.co.uk,1,"[""10.102.82.213""]","[""IP address: 10.102.82.213"", ""Domain: google.co.uk""]"
2023-09-21 16:06:41,,,,Google Drive v2,"[""Allowed""]",,,,,,,
2023-09-21 16:06:31,,,,Google Drive v2,"[""Allowed""]",,,,,,,
2023-09-21 16:06:21,,,,Google Drive v2,"[""Allowed""]",,,,,,,
2023-09-21 16:06:00,uk2-v-dc01.global.internal,"[""10.102.123.24""]",uk2-v-dc01.global.internal,Host DNS query to a non-trusted DNS server,"[""not blocked""]",DNS Response,outbound,00:50:56:87:ae:f7,earth.google.com,1,"[""10.102.80.11""]","[""IP address: 10.102.80.11"", ""Domain: earth.google.com""]"
2023-09-21 16:06:00,uk2-v-dc01.global.internal,"[""10.102.123.24""]",uk2-v-dc01.global.internal,Host DNS query to a non-trusted DNS server,"[""not blocked""]",DNS Response,outbound,00:50:56:87:ae:f7,earth.google.com,1,"[""10.102.80.11""]","[""IP address: 10.102.80.11"", ""Domain: earth.google.com""]"
2023-09-21 16:05:37,,,,Google Drive v2,"[""Allowed""]",,,,,,,
2023-09-21 16:05:35,,,,Google Drive v2,"[""Allowed""]",,,,,,,
2023-09-21 16:05:25,,,,Google Drive v2,"[""Allowed""]",,,,,,,
2023-09-21 16:05:00,,,,,"[""Block""]",,,,,,,
2023-09-21 16:05:00,,,,,"[""Block""]",,,,,,,
2023-09-21 16:05:00,,,,,"[""Block""]",,,,,,,
2023-09-21 16:05:00,,,,,"[""Block""]",,,,,,,
