Logged,eventSubClass,pAttackPhase,tags,dhost,app,remarks,dpt,shost,hostName,tacticId
13/09/2023 07:00,Port Mis-use,,"[""MITRE.T1071.001"",""XSAE.F4482"",""MITRE.T1008"",""MITRE.T1571""]",10.102.104.51,HTTP,"[""IP address: 10.102.104.51"", ""Port: 57548""]",57548,10.102.104.48,,"[""TA0011""]"
13/09/2023 07:00,Port Mis-use,,"[""MITRE.T1071.001"",""XSAE.F4482"",""MITRE.T1008"",""MITRE.T1571""]",10.102.104.52,HTTP,"[""IP address: 10.102.104.52"", ""Port: 50070""]",50070,10.102.104.48,,"[""TA0011""]"
13/09/2023 07:00,Port Mis-use,,"[""MITRE.T1071.001"",""XSAE.F4482"",""MITRE.T1008"",""MITRE.T1571""]",172.30.82.53,HTTP,"[""IP address: 172.30.82.53"", ""Port: 83""]",83,172.30.81.72,,"[""TA0011""]"
13/09/2023 06:59,Port Mis-use,,"[""MITRE.T1071.001"",""XSAE.F4482"",""MITRE.T1008"",""MITRE.T1571""]",10.102.127.9,HTTP,"[""IP address: 10.102.127.9"", ""Port: 8888""]",8888,10.102.127.10,,"[""TA0011""]"
13/09/2023 06:59,Port Mis-use,,"[""MITRE.T1071.001"",""XSAE.F4482"",""MITRE.T1008"",""MITRE.T1571""]",10.102.127.9,HTTP,"[""IP address: 10.102.127.9"", ""Port: 7777""]",7777,10.102.127.10,,"[""TA0011""]"
13/09/2023 06:59,Port Mis-use,,"[""MITRE.T1071.001"",""XSAE.F4482"",""MITRE.T1008"",""MITRE.T1571""]",172.30.2.94,HTTP,"[""IP address: 172.30.2.94"", ""Port: 85""]",85,172.30.3.68,,"[""TA0011""]"
13/09/2023 06:59,Port Mis-use,,"[""MITRE.T1071.001"",""XSAE.F4482"",""MITRE.T1008"",""MITRE.T1571""]",172.30.82.52,HTTP,"[""IP address: 172.30.82.52"", ""Port: 82""]",82,172.30.81.73,,"[""TA0011""]"
13/09/2023 06:59,Port Mis-use,,"[""MITRE.T1071.001"",""XSAE.F4482"",""MITRE.T1008"",""MITRE.T1571""]",172.30.2.93,HTTP,"[""IP address: 172.30.2.93"", ""Port: 82""]",82,172.30.3.68,,"[""TA0011""]"
13/09/2023 06:59,Port Mis-use,,"[""MITRE.T1071.001"",""XSAE.F4482"",""MITRE.T1008"",""MITRE.T1571""]",10.102.104.62,HTTP,"[""IP address: 10.102.104.62"", ""Port: 8090""]",8090,10.102.104.48,10.102.104.62,"[""TA0011""]"
13/09/2023 06:59,Port Mis-use,,"[""MITRE.T1071.001"",""XSAE.F4482"",""MITRE.T1008"",""MITRE.T1571""]",172.30.2.91,HTTP,"[""IP address: 172.30.2.91"", ""Port: 87""]",87,172.30.3.68,,"[""TA0011""]"
13/09/2023 06:59,Port Mis-use,,"[""MITRE.T1071.001"",""XSAE.F4482"",""MITRE.T1008"",""MITRE.T1571""]",10.102.104.47,HTTP,"[""IP address: 10.102.104.47"", ""Port: 2380""]",2380,10.102.104.48,etcd1,"[""TA0011""]"
13/09/2023 06:59,Port Mis-use,,"[""MITRE.T1071.001"",""XSAE.F4482"",""MITRE.T1008"",""MITRE.T1571""]",10.102.104.62,HTTP,"[""IP address: 10.102.104.62"", ""Port: 8090""]",8090,10.102.104.48,10.102.104.62,"[""TA0011""]"
